system,parameter,spec_value,relative_error,value,noise,mmd_p,mmd_detect,ks_p,ks_detect,discriminator_auc,discriminator_p,discriminator_detect,screen_detect,screen_localised,screen_exact,target_generator,target_ratio,target_p
acrobot,g,9.8,0.1,10.780000000000001,0.0,0.27877212278772123,False,0.7025389543105758,False,0.5039089705657172,0.38702183961868286,False,True,energy,True,energy,1091034816.0434632,0.0002331002331002331
acrobot,g,9.8,0.3,12.740000000000002,0.0,9.999000099990002e-05,True,7.96756268816562e-05,True,0.9422446666106861,0.0,True,True,energy,True,energy,3057131466.6625886,0.0002331002331002331
acrobot,lc2,0.5,0.0001,0.50005,0.0,0.9999000099990001,False,1.0,False,0.5063521543484596,0.32040923833847046,False,True,energy,True,energy,390859.81836064946,0.0002331002331002331
acrobot,lc2,0.5,0.0003,0.50015,0.0,0.9999000099990001,False,1.0,False,0.5063614158487733,0.32016587257385254,False,True,energy,True,energy,1172351.067955899,0.0002331002331002331
acrobot,lc2,0.5,0.001,0.5005,0.0,0.9999000099990001,False,1.0,False,0.5062762100458876,0.3224078416824341,False,True,energy,True,energy,3905180.026729394,0.0002331002331002331
acrobot,lc2,0.5,0.003,0.5015,0.0,0.9999000099990001,False,1.0,False,0.5061119727736588,0.3267475366592407,False,True,energy,True,energy,11692950.253611663,0.0002331002331002331
acrobot,lc2,0.5,0.01,0.505,0.0,0.9997000299970003,False,1.0,False,0.5054377355508246,0.3448045253753662,False,True,energy,True,energy,38720008.24445958,0.0002331002331002331
acrobot,lc2,0.5,0.03,0.515,0.0,0.9994000599940006,False,1.0,False,0.5041250722397025,0.3809588551521301,False,True,energy,True,energy,114141578.33326946,0.0002331002331002331
acrobot,lc2,0.5,0.1,0.55,0.0,0.7616238376162384,False,0.2026982408727651,False,0.49724439494001016,0.5802212357521057,False,True,energy,True,energy,363688637.5848352,0.0002331002331002331
acrobot,lc2,0.5,0.3,0.65,0.0,9.999000099990002e-05,True,0.00010834984260876285,True,0.9550712271117455,0.0,True,True,energy,True,energy,1160942497.68272,0.0002331002331002331
