quadrature,b1_spec,b2_spec,dt,b1_found,b2_found,b1_rel_error,b2_rel_error,s_min,s_next,gap_ratio,decisive,fit_residual
trapezoid,0.02,0.2,0.01,0.020021692953785215,0.19998530313670929,0.001084647689260712,7.348431645362585e-05,3.490874921032768e-07,2.0587056772751845e-05,0.01695664882827322,True,0.0006974337770736267
trapezoid,0.02,0.2,0.02,0.02006524047415819,0.19995766851357916,0.003262023707909477,0.000211657432104273,1.546279061256804e-06,2.146522611461681e-05,0.07203646740081907,True,0.0049696929741889296
rectangle,0.1,0.05,0.001,0.10948057736401512,0.047924834571453134,0.09480577364015114,0.04150330857093737,1.1390902522517382e-06,2.6426205613683364e-06,0.43104570853029417,False,0.09614782356207452
rectangle,0.1,0.05,0.002,0.10602406032432553,0.04306666923297623,0.060240603243255225,0.13866661534047545,1.2788649018583478e-05,2.250863857806064e-05,0.5681662608883277,False,0.14907719992908544
rectangle,0.1,0.05,0.005,0.10186544761683884,0.04026574574769181,0.018654476168388362,0.19468508504616386,2.8495172993351043e-05,5.213624592457508e-05,0.5465520673386167,False,6.012203123101782
rectangle,0.1,0.05,0.01,0.031096238697181054,0.019883358406700205,0.6890376130281894,0.602332831865996,1.7734855857610297e-05,9.718278228212755e-05,0.18248969046929453,False,27.901275022702606
rectangle,0.1,0.05,0.02,0.005130257179164187,0.005817615661055342,0.9486974282083582,0.8836476867788932,1.594541867731885e-05,0.00016645378243051022,0.09579487137203153,True,22.839005935474354
rectangle,0.3,0.3,0.001,0.3082577509069941,0.2951087378601147,0.027525836356646998,0.016304207132950926,1.3566277080370335e-06,2.9148891971213416e-06,0.4654131310983618,False,0.1110476364490944
rectangle,0.3,0.3,0.002,0.30529735646179146,0.2890565010042008,0.017657854872638233,0.036478329985997204,1.3313866706013166e-05,2.206786640145743e-05,0.6033146324075025,False,0.158808054614275
rectangle,0.3,0.3,0.005,0.221840950843356,0.20079717248586826,0.26053016385547995,0.33067609171377244,2.818931735789112e-05,6.18942108274745e-05,0.45544352179344755,False,7.226471268751595
rectangle,0.3,0.3,0.01,0.05289757084632903,0.04168460900938279,0.8236747638455698,0.8610513033020573,1.7738627074282167e-05,0.00011732149997615147,0.1511967293112344,False,18.18333484208762
rectangle,0.3,0.3,0.02,0.019657454724482857,0.012269839793713022,0.9344751509183904,0.9591005340209565,1.6598248940330426e-05,0.0001834872220449544,0.0904599718462349,True,18.788220456287906
rectangle,0.02,0.2,0.001,0.030014273276541173,0.1960325331365433,0.5007136638270586,0.01983733431728349,1.233880455578936e-06,2.746056769086202e-06,0.44932809454974637,False,0.10550662093948707
rectangle,0.02,0.2,0.002,0.027145399561910484,0.19110014350240967,0.3572699780955242,0.04449928248795171,1.2992585431982626e-05,2.352785647899608e-05,0.5522213824953174,False,0.13978392413678176
rectangle,0.02,0.2,0.005,0.03255088994132952,0.16497445299044153,0.627544497066476,0.17512773504779242,3.0890459674941155e-05,5.6002470357407174e-05,0.5515910187139704,False,5.493012421596943
rectangle,0.02,0.2,0.01,0.011365084982381191,0.0693904865328304,0.43174575088094047,0.6530475673358479,1.942256429101252e-05,0.00010110521827492163,0.19210249107221536,False,23.175746269913827
rectangle,0.02,0.2,0.02,0.0074488830949642915,0.012191265434093074,0.6275558452517854,0.9390436728295346,2.0330206058976695e-05,0.00019705350483099936,0.10317099447894956,False,26.690451242925313
