lam,hidden,n_traj,seed,val_mse,rollout_rmse_final,rollout_rmse_h25,divergence_horizon,divergence_horizon_0.05,divergence_horizon_0.1,divergence_horizon_0.25,divergence_horizon_0.5,divergence_horizon_1,resid_unit-norm_th1,resid_unit-norm_th2,resid_energy,algebraic_score,rho_val_mse,rho_algebraic
0.1,32,10,0,0.0007442058995366096,1.7331290348872699,0.2782279922807815,23.75,4.583333333333333,10.583333333333334,23.75,49.416666666666664,71.75,0.24574344610489882,0.35716931136226826,0.06099471296282803,0.6639074704299951,,
0.1,32,10,1,0.0017278369050472975,11.65295161298353,0.9616841752750737,18.083333333333332,4.833333333333333,8.416666666666666,18.083333333333332,36.25,44.583333333333336,0.9983959208140413,0.9995007448990711,0.7593762911345445,2.757272956847657,,
0.1,32,10,2,0.001356967375613749,1.5032154474762558,0.5563666407796247,17.5,3.5,7.25,17.5,36.25,60.166666666666664,0.2228619499269891,0.21397261277571253,0.03530550136314776,0.4721400640658494,,
0.1,32,60,0,4.43713906861376e-05,0.5756669462180746,0.0824076552039089,56.5,19.916666666666668,32.5,56.5,73.5,90.91666666666667,0.11716359277068415,0.14099051810828073,0.024618939300566973,0.28277305017953186,,
0.1,32,60,1,5.2290190069470555e-05,0.7004411772384612,0.18824380122177176,57.5,15.0,30.25,57.5,81.0,85.5,0.05767979089290619,0.03421478590166513,0.011553518433808805,0.10344809522838012,,
0.1,32,60,2,4.9390564527129754e-05,1.0454983352946299,0.11491139707780822,52.75,16.666666666666668,30.916666666666668,52.75,68.66666666666667,80.58333333333333,0.0889537305936673,0.09663790965494272,0.02554326590009117,0.2111349061487012,,
0.1,128,10,0,0.00028237607330083847,1.0936424659093642,0.11901786491925309,48.25,13.416666666666666,26.25,48.25,68.08333333333333,80.41666666666667,0.06196186613165857,0.11076691290197947,0.02809624820021139,0.20082502723384943,,
0.1,128,10,1,0.0003039761504624039,2.028719732373801,0.3592098888896437,36.666666666666664,9.75,19.583333333333332,36.666666666666664,50.75,70.91666666666667,0.38035912320120857,0.12790741138448888,0.04160163180989628,0.5498681663955938,,
0.1,128,10,2,0.00038557249354198575,2.070847524369747,0.21862015564441772,33.333333333333336,9.166666666666666,18.583333333333332,33.333333333333336,48.833333333333336,70.5,0.14551018116712292,0.2230941980925192,0.03848494627980241,0.40708932553944455,,
0.1,128,60,0,2.129368658643216e-05,0.7191359690517304,0.06617764956730054,60.583333333333336,24.333333333333332,42.583333333333336,60.583333333333336,73.58333333333333,90.33333333333333,0.04789985909298064,0.04343132370860758,0.01274326075380202,0.10407444355539025,,
