condition,seed,total_steps,final_return,auc_return,n_episodes,seconds,curve_8000,curve_16000,curve_24000,curve_32000,curve_40000,curve_48000,curve_56000,curve_64000,curve_72000,curve_80000,curve_88000,curve_96000,curve_104000,curve_112000,curve_120000
random_0,4,120000,-83.16666666666667,-251.47185185185188,809,111.46366381645203,-439.94444444444446,-430.56666666666666,-465.53333333333336,-492.56666666666666,-500.0,-500.0,-176.1,-109.86666666666666,-110.3,-111.9,-92.5,-94.23333333333333,-81.66666666666667,-86.43333333333334,-80.46666666666667
randstep_0,0,120000,-84.63333333333334,-166.27916666666667,935,106.16697812080383,-488.6875,-482.73333333333335,-169.36666666666667,-170.36666666666667,-118.3,-127.03333333333333,-135.4,-111.93333333333334,-124.83333333333333,-112.16666666666667,-98.86666666666666,-96.16666666666667,-88.43333333333334,-81.4,-88.5
randstep_0,1,120000,-89.83333333333333,-135.94868686868688,994,103.48050093650818,-359.3636363636364,-161.7,-135.46666666666667,-151.93333333333334,-147.66666666666666,-122.43333333333334,-131.73333333333332,-111.16666666666667,-118.16666666666667,-108.03333333333333,-118.7,-99.76666666666667,-93.8,-89.26666666666667,-90.03333333333333
randstep_0,2,120000,-86.36666666666666,-128.82722222222222,1051,102.90714168548584,-330.875,-226.43333333333334,-162.93333333333334,-109.73333333333333,-105.73333333333333,-113.03333333333333,-126.13333333333334,-114.36666666666666,-102.03333333333333,-99.83333333333333,-91.43333333333334,-89.53333333333333,-92.4,-84.6,-83.33333333333333
randstep_0,3,120000,-84.23333333333333,-189.27555555555557,988,102.88887786865234,-500.0,-500.0,-500.0,-224.06666666666666,-145.9,-151.33333333333334,-101.26666666666667,-93.46666666666667,-97.06666666666666,-90.86666666666666,-89.3,-87.83333333333333,-86.4,-78.03333333333333,-93.6
randstep_0,4,120000,-82.26666666666667,-124.6432679738562,1136,102.88815712928772,-443.88235294117646,-148.96666666666667,-131.0,-111.46666666666667,-103.03333333333333,-102.23333333333333,-105.76666666666667,-99.83333333333333,-89.8,-91.2,-93.26666666666667,-93.46666666666667,-93.8,-79.86666666666666,-82.06666666666666
random_1,0,120000,-97.06666666666666,-132.9543859649123,1035,103.05607771873474,-401.3157894736842,-203.86666666666667,-127.96666666666667,-148.46666666666667,-123.96666666666667,-110.36666666666666,-103.46666666666667,-88.73333333333333,-94.73333333333333,-99.26666666666667,-98.36666666666666,-113.96666666666667,-95.3,-89.36666666666666,-95.16666666666667
random_1,1,120000,-96.26666666666667,-272.23555555555555,721,103.07960271835327,-500.0,-500.0,-500.0,-500.0,-500.0,-484.7,-249.96666666666667,-126.46666666666667,-111.56666666666666,-106.06666666666666,-100.83333333333333,-102.63333333333334,-109.66666666666667,-96.93333333333334,-94.7
random_1,2,120000,-96.06666666666666,-154.45918128654966,952,102.51352334022522,-412.42105263157896,-256.23333333333335,-245.5,-196.6,-145.5,-153.0,-122.26666666666667,-116.83333333333333,-98.1,-107.56666666666666,-90.7,-98.06666666666666,-89.0,-86.5,-98.6
random_1,3,120000,-81.06666666666666,-138.77555555555554,1030,102.61673402786255,-391.4,-250.53333333333333,-172.83333333333334,-150.93333333333334,-163.3,-132.73333333333332,-118.76666666666667,-99.1,-94.96666666666667,-84.56666666666666,-88.8,-86.46666666666667,-84.03333333333333,-80.83333333333333,-82.36666666666666
random_1,4,120000,-96.43333333333334,-146.98250000000002,1015,102.50792264938354,-472.4375,-233.93333333333334,-203.9,-167.4,-149.2,-117.23333333333333,-97.06666666666666,-99.13333333333334,-101.76666666666667,-100.66666666666667,-87.86666666666666,-94.6,-89.53333333333333,-97.0,-93.0
randstep_1,0,120000,-79.83333333333333,-123.89955555555555,1033,102.79556441307068,-317.56,-178.46666666666667,-124.36666666666666,-129.23333333333332,-118.16666666666667,-114.66666666666667,-114.36666666666666,-107.0,-103.83333333333333,-99.76666666666667,-103.9,-93.33333333333333,-86.63333333333334,-85.5,-81.7
randstep_1,1,120000,-85.86666666666666,-165.55333333333334,1008,103.08792805671692,-500.0,-500.0,-251.83333333333334,-156.83333333333334,-99.03333333333333,-110.46666666666667,-106.13333333333334,-99.33333333333333,-105.1,-112.93333333333334,-88.6,-88.9,-97.56666666666666,-83.03333333333333,-83.53333333333333
randstep_1,2,120000,-84.53333333333333,-132.46853801169593,1064,102.45774960517883,-413.89473684210526,-215.43333333333334,-135.36666666666667,-118.83333333333333,-114.4,-116.26666666666667,-110.96666666666667,-118.56666666666666,-101.4,-95.76666666666667,-84.93333333333334,-94.2,-92.0,-88.16666666666667,-86.83333333333333
randstep_1,3,120000,-80.03333333333333,-146.1533333333333,1065,102.7146782875061,-500.0,-380.6333333333333,-134.03333333333333,-112.5,-109.43333333333334,-100.76666666666667,-98.86666666666666,-95.53333333333333,-93.6,-88.26666666666667,-95.1,-119.26666666666667,-92.43333333333334,-88.9,-82.96666666666667
randstep_1,4,120000,-87.03333333333333,-143.9029239766082,997,102.74756622314453,-414.2105263157895,-267.1,-196.36666666666667,-145.6,-127.76666666666667,-116.83333333333333,-99.5,-92.66666666666667,-112.9,-94.96666666666667,-105.43333333333334,-108.5,-96.56666666666666,-88.23333333333333,-91.9
