condition,n_seeds,final_return_mean,final_return_sd,auc_mean,auc_sd,p_vs_none,p_vs_discovered,auc_diff_vs_discovered,auc_diff_vs_discovered_lo,auc_diff_vs_discovered_hi,auc_diff_vs_none,auc_diff_vs_none_lo,auc_diff_vs_none_hi,potential_spread,increment_spread,aggregation,n_draws,auc_draw_min,auc_draw_max,final_draw_min,final_draw_max
random_2,5,-91.00666666666666,1.9947040994705076,-161.48662269756386,22.543377107591237,0.5476190476190477,0.007936507936507936,-70.18262269756386,-89.59885302287583,-50.89854456327987,-13.686559205500345,-44.99233220121383,18.404202317290583,5.753056979024813,4.1286892626283285,,,,,,
randstep_2,5,-85.94000000000001,4.082123630334258,-159.6829222222222,33.46861355794207,0.5476190476190477,0.007936507936507936,-68.3789222222222,-97.08200000000002,-40.077244444444446,-11.882858730158688,-49.96537301587301,26.436713333333355,1.0421376154997952,0.7478914947274565,,,,,,
random_3,5,-416.45333333333326,167.09333333333333,-443.56572222222223,112.86855555555555,0.009700785068229596,0.009700785068229596,-352.26172222222226,-409.9915555555556,-239.15272222222225,-295.76565873015875,-370.42120634920633,-176.5419920634921,5.753056979024813,4.05399706858949,,,,,,
randstep_3,5,-169.56,165.22143982479326,-212.33136189481016,145.2249416814331,1.0,0.007936507936507936,-121.02736189481016,-266.0570484848485,-33.95440445837687,-64.53129840274664,-210.61194449917892,31.817898989898993,1.0613383064907151,0.7478914947274565,,,,,,
random_4,5,-91.96666666666667,5.676109778908634,-156.82315529564653,35.21604035726619,0.8412698412698413,0.007936507936507936,-65.51915529564653,-98.44496666666666,-38.299472579597136,-9.023091803583014,-49.11356984126984,29.052050125313283,5.753056979024814,4.53722807224329,,,,,,
randstep_4,5,-86.46666666666667,6.859867183683501,-170.370156002752,72.8481246664954,1.0,0.007936507936507936,-79.066156002752,-152.69494444444445,-35.90786106381152,-22.570092510688482,-98.2127787851983,33.37405265553589,0.9483019841159929,0.7478914947274566,,,,,,
random_5,5,-95.72666666666666,8.708856284138449,-172.10354761904765,11.597467057895969,0.30952380952380953,0.007936507936507936,-80.79954761904764,-91.66235555555556,-71.08269047619049,-24.30348412698413,-50.41669206349207,2.0985061507936367,5.753056979024812,4.1751758604384595,,,,,,
randstep_5,5,-92.20666666666668,8.067531634066684,-135.11973931623933,24.823950036426254,0.5476190476190477,0.007936507936507936,-43.81573931623933,-65.70585352564106,-22.74706752136754,12.680324175824182,-20.071685592185617,45.39197113858361,1.0305344079191063,0.7478914947274565,,,,,,
random_6,5,-87.30666666666666,5.202623269936899,-126.7257578079647,16.672871086203237,0.2222222222222222,0.007936507936507936,-35.421757807964696,-51.19461532567049,-21.755218530128886,21.074305684098817,-6.936741934948842,48.635071829958065,5.753056979024813,3.7026460013315465,,,,,,
randstep_6,5,-87.82,1.7387862944530494,-139.60163350404997,38.33985808272279,0.8412698412698413,0.007936507936507936,-48.29763350404997,-86.79903291925464,-26.148123186589636,8.198429988013544,-36.22499582289055,46.35022360248454,1.1620507015112351,0.7478914947274565,,,,,,
random_7,5,-179.62666666666667,160.37764377313385,-254.18690058479532,126.95361793754185,0.05555555555555555,0.007936507936507936,-162.88290058479532,-286.837183625731,-80.17824561403506,-106.38683709273181,-233.73359314954044,-14.675749373433575,5.753056979024812,4.278739055865516,,,,,,
randstep_7,5,-85.94000000000001,5.9624156178515415,-152.29109311740893,33.30075594301221,0.8412698412698413,0.007936507936507936,-60.98709311740893,-90.6189777777778,-32.643068690958174,-4.491029625345419,-42.329625313283195,32.41189622132257,1.0055912097272632,0.7478914947274565,,,,,,
random_8,5,-85.72666666666666,2.3153017561912366,-147.1217800511509,20.80857572705535,0.6904761904761905,0.007936507936507936,-55.81778005115089,-75.28572710997445,-39.51969082125606,0.6782834409126224,-29.518853408029912,31.11900951569034,5.753056979024813,4.0275416027632325,,,,,,
randstep_8,5,-93.05999999999999,6.881227280717364,-146.76407936507937,33.852298363907614,1.0,0.007936507936507936,-55.460079365079366,-89.38655555555556,-33.01419047619049,1.0359841269841468,-39.50077460317459,37.10150714285713,1.068309854414193,0.7478914947274565,,,,,,
random_9,5,-95.92,7.592996773343182,-173.0238103448276,27.629477128482627,0.42063492063492064,0.007936507936507936,-81.71981034482761,-106.1417777777778,-58.98707049808431,-25.223746852764094,-59.9946994526546,9.157227114121538,5.753056979024812,3.92971481361582,,,,,,
randstep_9,5,-120.8,56.456114716555625,-214.03778780284043,136.51575482235307,0.8412698412698413,0.007936507936507936,-122.73378780284042,-258.1966,-39.74025973266498,-66.23772431077691,-205.73157167919803,26.559419632414368,1.0949044873147207,0.7478914947274565,,,,,,
rnd,5,-85.79333333333334,3.079422745328163,-118.05195238095239,8.165583237803938,0.2222222222222222,0.007936507936507936,-26.747952380952384,-33.72656349206348,-19.016126984127013,29.74811111111113,4.659015873015875,55.288789682539694,nan,nan,,,,,,
random_across_draws,5,-132.65533333333335,98.24455165215693,-195.32320366407708,88.6599335320583,,,,,,,,,,,draw_means,10,-443.56572222222223,-126.7257578079647,-416.45333333333326,-85.72666666666666
randstep_across_draws,5,-99.07199999999999,25.657711303491848,-162.15890899249055,27.24051266604317,,,,,,,,,,,draw_means,10,-214.03778780284043,-135.11973931623933,-169.56,-83.46
