env_id,older,newer,step,separation,steps_per_decade,decades_climbed
Reacher-v4,mj-gymnasium-1.2.3-mujoco-3.2.7,mj-gymnasium-1.3.0-mujoco-3.10.0,1,0.0,,
Reacher-v4,mj-gymnasium-1.2.3-mujoco-3.2.7,mj-gymnasium-1.3.0-mujoco-3.10.0,2,0.0,,
Reacher-v4,mj-gymnasium-1.2.3-mujoco-3.2.7,mj-gymnasium-1.3.0-mujoco-3.10.0,5,0.0,,
Reacher-v4,mj-gymnasium-1.2.3-mujoco-3.2.7,mj-gymnasium-1.3.0-mujoco-3.10.0,10,0.0,,
Reacher-v4,mj-gymnasium-1.2.3-mujoco-3.2.7,mj-gymnasium-1.3.0-mujoco-3.10.0,20,0.0,,
Reacher-v4,mj-gymnasium-1.2.3-mujoco-3.2.7,mj-gymnasium-1.3.0-mujoco-3.10.0,50,0.0,,
Reacher-v4,mj-gymnasium-1.2.3-mujoco-3.2.7,mj-gymnasium-1.3.0-mujoco-3.10.0,100,0.0,,
Reacher-v4,mj-gymnasium-1.2.3-mujoco-3.2.7,mj-gymnasium-1.3.0-mujoco-3.10.0,200,0.0,,
Reacher-v4,mj-gymnasium-1.2.3-mujoco-3.2.7,mj-gymnasium-1.3.0-mujoco-3.10.0,400,0.0,,
Reacher-v4,mj-gymnasium-1.2.3-mujoco-3.2.7,mj-gymnasium-1.3.0-mujoco-3.10.0,499,0.0,,
